train:0.00214514302110279,validation:0.0020858426448992556
train:0.0022643896748547206,validation:0.0022829920312182773
train:0.002105049199199529,validation:0.0026718401867482397
train:0.002115397467175601,validation:0.0023632440457327496
train:0.0023428858283415926,validation:0.0021520802725313436
train:0.0021841836975539453,validation:0.00268071372475889
train:0.002076377788978209,validation:0.0024194394807434743
train:0.0023641451249144727,validation:0.0021469657335223425
train:0.0021349243323349363,validation:0.0027994237736695344
train:0.002120101100325093,validation:0.002169379460004469
train:0.0023777871047259195,validation:0.0024341303699960313
train:0.002049512096813747,validation:0.002631860397135218
train:0.0022975174674334433,validation:0.002060554054979649
train:0.002219547567489956,validation:0.002745078850744499
train:0.0020653012037215816,validation:0.0021735326800909308
train:0.003096521713074993,validation:0.002229381456143326
train:0.0019525344110001902,validation:0.0025550299582795966
train:0.002194373597196498,validation:0.0020428815106343892
train:0.002013987243676988,validation:0.002503233910020855
train:0.0020270637341437267,validation:0.002085286658257246
train:0.0021374536445364356,validation:0.0024314726340687936
train:0.0019652260247372336,validation:0.0022336446887089145
train:0.0021363310771738437,validation:0.0020693421829491854
train:0.0020038946352612516,validation:0.002536730814932121
train:0.0020386647384429534,validation:0.002055849297903478
train:0.002102196512099069,validation:0.002216918549189965
train:0.0019352043963518444,validation:0.0023712391395949656
train:0.0020687964228033036,validation:0.0020735583319846126
train:0.002010684525645287,validation:0.0022765593473903006
train:0.0019334589085122059,validation:0.0022122205700725317
train:0.0020406516294435156,validation:0.0021295496391960317
train:0.0019502239647208825,validation:0.0022460281616076827
train:0.0019337697323043269,validation:0.002120918426145282
train:0.0019837382561680708,validation:0.002137045686443647
train:0.0019129420999069136,validation:0.002191582811065018
train:0.0019007308989415293,validation:0.0020831985554347434
train:0.0019415468297346117,validation:0.0020868957767056096
train:0.0018933207195784365,validation:0.0021628712743727695
train:0.001870140125002753,validation:0.0021083899644306963
train:0.0019281193918476885,validation:0.0020259458106011152
train:0.0019064086686389951,validation:0.0021282054302800032
train:0.0018599793778036485,validation:0.002169129309347934
train:0.0019140577987655177,validation:0.002002987027582195
train:0.0019144341196087036,validation:0.002049502787283725
train:0.0018591532882835185,validation:0.0021829454797423547
train:0.0018801949061146312,validation:0.002033624979149964
train:0.0019020429098528329,validation:0.001987876965560847
train:0.001870150595985271,validation:0.002135953322673837
train:0.0018559305949116145,validation:0.002088465520905124
train:0.001871067202895634,validation:0.0019901889867873657
train:0.0018819385760842444,validation:0.002049633030158778
train:0.0018520246050064708,validation:0.0021079523333658776
train:0.001837208505034201,validation:0.0020548245585006145
train:0.00187736259297478,validation:0.0019740566947600907
train:0.001864076597145298,validation:0.002044099176095592
train:0.001822834371353735,validation:0.002124996364323629
train:0.0018511899340140458,validation:0.0019883172483079964
train:0.0018665639435422126,validation:0.001953147610442506
train:0.0018454974767966913,validation:0.002077246692755984
train:0.0018283041964213436,validation:0.002084115675340096
train:0.0018303693287524876,validation:0.001991303042612142
train:0.4957748078779512,validation:0.0021947283789308537
train:0.0018521481395729787,validation:0.0020471285226651365
train:0.001954320291118635,validation:0.002051298752323621
train:0.0019436204181677037,validation:0.002269859412788517
train:0.001971070130181673,validation:0.0021534760663699773
train:0.0020441078762575,validation:0.002167243963210947
train:0.0021004442798465,validation:0.002388890858532654
train:0.0021340485513824357,validation:0.0024830835819658306
train:0.0022038920081455956,validation:0.002467178377426333
train:0.002311398678172666,validation:0.00236508552916348
train:0.0023413248971657277,validation:0.002476949089517196
train:0.0023612716122642977,validation:0.002792441079186069
train:0.0023783745620256434,validation:0.0028281270319388974
train:0.0024560032256336494,validation:0.002625599451777008
train:0.0026716420076439507,validation:0.0025089751256422866
train:0.0030965586064976977,validation:0.003004640651245912
