train:0.0002340773869066622,validation:0.00035654654202517123
train:0.00023685020574043598,validation:0.00038999210228212177
train:0.00023249849259078114,validation:0.000373080676945392
train:0.00023107110641981159,validation:0.0003654598374851048
train:0.0002254460630285973,validation:0.0003665214913780801
train:0.0002258837655292834,validation:0.000363906507845968
train:0.00022690882266673086,validation:0.0003645912103820592
train:0.00022948899988857723,validation:0.0003613042397773825
train:0.00022782138926181737,validation:0.00036599090235540644
train:0.00022575713836096717,validation:0.0003755636673304252
train:0.00022133776344292398,validation:0.0003614849978475831
train:0.0002256147589043274,validation:0.00036650209658546374
train:0.0002228592798768819,validation:0.000354565039742738
train:0.0002214571789379109,validation:0.00035328688245499506
train:0.0002200303280695372,validation:0.000355683418456465
train:0.0002176819428683842,validation:0.0003566576313460246
train:0.0002205076515975224,validation:0.00038570812466787174
train:0.0002207303681803591,validation:0.000379100811551325
train:0.00022024672528329705,validation:0.0003687328295200132
train:0.00021944922987681271,validation:0.00036394491617102175
train:0.00021456071368487715,validation:0.00036456753441598265
train:0.00021163086257529556,validation:0.00036398030642885714
train:0.0002118411542211946,validation:0.00035810915142064914
train:0.00021599995590884565,validation:0.0003582626231946051
train:0.00021428809226823172,validation:0.00035755543649429455
train:0.00021578022438756468,validation:0.0003648849989986047
train:0.00021375307743245694,validation:0.0003573452850105241
train:0.0002130672068892886,validation:0.0003641584349679761
train:0.00021391967711279394,validation:0.0003611232677940279
train:0.00021248466230015486,validation:0.0003629745100624859
train:0.00021420705673005943,validation:0.0003522295402945019
train:0.00021200097198943496,validation:0.00035650594800245016
train:0.00020993639343062538,validation:0.00036479357804637403
train:0.00021430880396120292,validation:0.0003715002952958457
train:0.00021150451581119202,validation:0.0003571817898773588
train:0.00020984978370936486,validation:0.00036502507573459296
train:0.00020784697499238774,validation:0.00035520107194315643
train:0.00021045570347169004,validation:0.00038231340586207806
train:0.00021148888849343715,validation:0.0003631180705269799
train:0.00020878839099928122,validation:0.0003646323806606233
train:0.00020972648325278987,validation:0.0004041452630190179
train:0.00021070027982964497,validation:0.00035131574841216204
train:0.00020443927536649466,validation:0.0003497633486404084
train:0.00020299059590567824,validation:0.0003553915666998364
train:0.00021233354042064152,validation:0.00035260100121377037
train:0.00020224252208148814,validation:0.0003475405028439127
train:0.000198837148603231,validation:0.0003535154857672751
train:0.00019882135849591897,validation:0.0003572604095097631
train:0.00020519468407556005,validation:0.0003553695612936281
train:0.00020675414614763194,validation:0.000363710847159382
train:0.00019925415060472685,validation:0.00034839467698475344
train:0.00019979332976687985,validation:0.00035620210401248186
train:0.00019824771640072629,validation:0.00035398530453676356
train:0.00020498246510044908,validation:0.0003991253848653287
train:0.00020140491280152084,validation:0.0003532815040671267
train:0.0001936870879604952,validation:0.00033832290791906415
train:0.00019051214837748046,validation:0.00033873437787406145
train:0.00018911391600920398,validation:0.0003390436264453456
train:0.00018808047033227202,validation:0.00033946419862331825
train:0.0001872349667182489,validation:0.00033977509883698076
train:0.00018650838727218478,validation:0.0003401183770620264
train:0.00018587373123519574,validation:0.0003403828362934291
train:0.0001853014584592349,validation:0.0003406675939913839
train:0.00018478318264357398,validation:0.0003409714830922894
train:0.0001843021758019689,validation:0.0003411989935557358
train:0.0001838613435201306,validation:0.0003414101942325942
train:0.00018344982791049816,validation:0.0003416267849388532
train:0.00018306180181053394,validation:0.00034181350929429755
