train:0.1146706307063932,validation:0.12158722678820293
train:0.11498616538617921,validation:0.12171925107638042
train:0.11470525646987169,validation:0.1211584210395813
train:0.11399414941020634,validation:0.12326358755429585
train:0.1131097894647847,validation:0.12588241944710413
train:0.11259193815614867,validation:0.1220216453075409
train:0.11197747970404832,validation:0.12038056304057439
train:0.11134876667157463,validation:0.11843522141377132
train:0.11104245807813562,validation:0.11813606073458989
train:0.11062124436316283,validation:0.11747388044993083
train:0.11020701054645621,validation:0.1166819507877032
train:0.11007869276015655,validation:0.11626657595237096
train:0.11014982474886853,validation:0.11620574941237767
train:0.10994741385397704,validation:0.11638595908880234
train:0.10962470296932303,validation:0.11692639191945393
train:0.10959720514390779,validation:0.11763290564219157
train:0.1097471697822861,validation:0.11783113082249959
train:0.10940129245104997,validation:0.11680531005064647
train:0.10866252624470255,validation:0.11531730492909749
train:0.10844475549200307,validation:0.11441115041573842
train:0.10874868735023167,validation:0.11409868796666463
train:0.10904892080503961,validation:0.11393715441226959
train:0.10888022994217665,validation:0.11369208991527557
train:0.10817714424236961,validation:0.11381080001592636
train:0.10762766781060593,validation:0.1146392971277237
train:0.10771277093369028,validation:0.11580504973729451
train:0.10817819477423378,validation:0.1166541576385498
train:0.10835182342840277,validation:0.11657456308603287
train:0.10782969127530637,validation:0.1153884083032608
train:0.10718065694622371,validation:0.11404472589492798
train:0.10715397512135298,validation:0.1134296531478564
train:0.10776775233123613,validation:0.1134430393576622
train:0.1086332020552262,validation:0.11370328068733215
train:0.10894891295744025,validation:0.11356525123119354
train:0.1082534161598786,validation:0.11317788312832515
train:0.10727914552325787,validation:0.11326794574658076
train:0.10678412959627483,validation:0.11392825096845627
train:0.10681913890268492,validation:0.11485058565934499
train:0.10712959746951642,validation:0.11560927828152974
train:0.10749490818251735,validation:0.11601402858893077
train:0.1076340231558551,validation:0.11590700348218282
train:0.10733609355014304,validation:0.11522448311249416
train:0.10668428890083147,validation:0.11415506651004155
train:0.10622227613044821,validation:0.1131256992618243
train:0.10637688539598299,validation:0.11243267357349396
train:0.10678484258444412,validation:0.1121402457356453
train:0.10708621565414511,validation:0.11200075844923656
train:0.10710126258756804,validation:0.11186310897270839
train:0.10677288569833922,validation:0.1118305077155431
train:0.10628681953834451,validation:0.11215214182933171
train:0.10595552007789197,validation:0.11288109421730042
train:0.10599293916121773,validation:0.11388091494639714
train:0.10641997404720473,validation:0.11482381075620651
train:0.10700803055711415,validation:0.11547522246837616
train:0.10728238069492838,validation:0.11550722767909367
train:0.10685883753973505,validation:0.11470356583595276
train:0.1059440536343533,validation:0.11342089374860127
train:0.10548763851756635,validation:0.11243968705336253
train:0.10590368120566658,validation:0.11229804406563441
train:0.10686791720597641,validation:0.11275359739859898
